date,redfin,zillow
2022-07-24T05:16:11.572125+00:00,937743,883200
2022-07-25T05:24:02.982462+00:00,937743,876700
2022-07-26T05:37:02.542155+00:00,937743,876700
2022-07-27T05:29:39.707042+00:00,921310,876700
2022-07-28T05:22:48.921391+00:00,921310,870200
2022-07-29T05:25:23.670066+00:00,921310,870200
2022-07-30T05:16:22.715244+00:00,919971,846200
2022-07-31T05:15:26.581385+00:00,919971,846200
2022-08-01T05:50:27.452968+00:00,919971,833800
2022-08-02T05:39:37.510461+00:00,919971,833800
2022-08-03T05:38:30.775324+00:00,919971,833800
2022-08-04T05:26:46.545937+00:00,919971,833800
2022-08-05T05:29:10.579970+00:00,919971,833800
2022-08-06T05:12:01.636411+00:00,919971,833800
2022-08-07T05:11:46.374948+00:00,919971,833800
2022-08-08T05:18:27.756643+00:00,919971,833800
2022-08-09T05:20:54.725031+00:00,919971,833800
2022-08-10T05:12:20.773121+00:00,918650,833800
2022-08-11T05:13:33.007115+00:00,918650,833800
2022-08-12T05:14:37.095313+00:00,918650,833800
2022-08-13T05:11:50.330160+00:00,918650,827100
2022-08-14T05:13:01.957497+00:00,921647,827100
2022-08-15T05:34:47.754182+00:00,921647,827100
2022-08-16T05:16:09.191791+00:00,921647,827100
2022-08-17T05:38:26.380811+00:00,921647,827100
2022-08-18T05:32:36.581105+00:00,921647,827100
2022-08-19T05:23:46.717325+00:00,921647,827100
2022-08-20T05:15:10.528274+00:00,921647,827100
2022-08-21T05:15:51.990615+00:00,921647,827100
2022-08-22T05:40:15.475399+00:00,917040,827100
2022-08-23T05:51:26.272258+00:00,917040,827100
2022-08-24T05:40:03.567914+00:00,917040,827100
2022-08-25T05:50:42.484145+00:00,917040,827100
2022-08-26T05:55:54.621095+00:00,917040,827100
2022-08-27T05:27:07.589320+00:00,917040,824300
2022-08-28T05:26:54.921785+00:00,917040,824300
2022-08-29T06:04:38.229581+00:00,917040,824300
2022-08-30T06:08:26.012858+00:00,904793,824300
2022-08-31T06:21:16.340091+00:00,904793,824300
2022-09-01T05:47:45.759527+00:00,904793,824300
2022-09-02T05:59:25.667889+00:00,904793,817000
2022-09-03T05:29:24.336115+00:00,904793,817000
2022-09-04T05:31:45.527052+00:00,904793,813100
2022-09-05T05:59:17.546277+00:00,904793,813100
2022-09-06T06:12:22.777572+00:00,904793,813100
2022-09-07T06:12:21.689981+00:00,906015,813100
2022-09-08T05:58:12.423983+00:00,906015,813100
2022-09-09T05:52:04.844721+00:00,906015,813100
2022-09-10T05:42:15.168897+00:00,906015,813100
2022-09-11T05:35:43.853296+00:00,906015,813100
2022-09-12T06:12:11.505933+00:00,882460,813100
2022-09-13T06:12:34.176490+00:00,NaN,810500
2022-09-14T06:04:03.797406+00:00,882460,810500
2022-09-15T05:58:55.385015+00:00,882460,810500
2022-09-16T06:02:31.772466+00:00,882460,810500
2022-09-17T05:35:39.803969+00:00,882460,810500
2022-09-18T05:39:35.949594+00:00,882460,810500
2022-09-19T06:09:02.295231+00:00,882460,810500
2022-09-20T06:02:07.197496+00:00,882460,810500
2022-09-21T06:04:11.816634+00:00,882460,810500
2022-09-22T06:00:03.177305+00:00,881152,810500
2022-09-23T05:58:29.012794+00:00,881152,810500
2022-09-24T05:41:14.121542+00:00,881152,810500
2022-09-25T05:34:56.359269+00:00,881489,810500
2022-09-26T06:06:47.665268+00:00,881489,803000
2022-09-27T06:00:28.825666+00:00,NaN,803000
2022-09-28T06:04:56.050569+00:00,881489,803000
2022-09-29T06:06:08.247269+00:00,881489,803000
2022-09-30T06:08:25.210810+00:00,881489,803000
2022-10-01T05:57:05.317839+00:00,881489,810000
2022-10-02T05:42:53.423976+00:00,900396,810000
2022-10-03T05:39:18.475526+00:00,900396,810000
2022-10-04T05:44:33.184259+00:00,NaN,810000
2022-10-05T05:43:54.641641+00:00,900396,814300
2022-10-06T05:32:47.288769+00:00,900396,814300
2022-10-07T05:32:42.030448+00:00,900396,814300
2022-10-08T05:28:30.965495+00:00,900396,814300
2022-10-09T05:36:29.424268+00:00,900396,814300
2022-10-10T05:59:29.179788+00:00,900396,810600
2022-10-11T05:57:14.329024+00:00,900396,810600
2022-10-12T05:41:49.721116+00:00,907892,810600
2022-10-13T05:58:20.679571+00:00,907892,819400
2022-10-14T06:04:33.677650+00:00,907892,819400
2022-10-15T05:43:42.175228+00:00,907892,805100
2022-10-16T05:41:54.989156+00:00,907892,805100
2022-10-17T06:13:38.102645+00:00,907892,805100
2022-10-18T06:10:31.351779+00:00,NaN,805100
2022-10-19T06:10:14.416012+00:00,878412,805100
2022-10-20T05:38:15.157592+00:00,878412,805100
2022-10-21T05:46:57.702733+00:00,878412,805100
2022-10-22T05:39:59.333982+00:00,878412,805100
2022-10-23T05:40:32.075756+00:00,878412,808300
2022-10-24T06:16:44.997533+00:00,878412,808300
2022-10-25T06:10:59.864591+00:00,873425,808300
2022-10-26T05:27:23.936354+00:00,873425,813100
2022-10-27T05:24:17.188995+00:00,873425,813100
2022-10-28T05:25:57.659091+00:00,873425,813100
2022-10-29T05:19:14.922405+00:00,873425,813100
2022-10-30T05:21:30.391918+00:00,866332,813100
2022-10-31T05:30:45.384918+00:00,866332,813100
2022-11-01T05:43:31.666533+00:00,866332,813100
2022-11-02T05:40:43.834315+00:00,866332,813100
2022-11-03T05:19:42.234751+00:00,866332,813100
2022-11-04T05:20:41.520595+00:00,866332,813100
2022-11-05T05:15:18.731365+00:00,866332,NaN
2022-11-06T05:15:10.512581+00:00,866332,NaN
2022-11-07T05:25:54.626767+00:00,866332,NaN
